idx,OP1_Type,OP2_Type,OP1,OP2,S,Sc,F1,F2,F1_label,F2_label,Notes
1,MDL,IND,may,a/an,I may meet a close friend of mine in the morning,I met a close friend of mine in the morning,and I know which one.,but I don't know which one.,OP2_wide,OP1_wide,
2,MDL,IND,probably,a/an,I will probably watch an episode of Tom and Jerry that I love,I watched an episode of Tom and Jerry that I love,and I know which episode.,but I don't know which episode.,OP2_wide,OP1_wide,
3,MDL,IND,must,a/an,A classmate of mine must tell me they love me,A classmate of mine told me they love me,and I know which one.,but I don't know which one.,OP2_wide,OP1_wide,
4,MDL,QD,may,some,I may find some days this week to be sunny,I found some days this week to be sunny,and I know which days.,but I don't know which days.,OP2_wide,OP1_wide,
5,MDL,QD,probably,some,I will probably give myself some tattoos,I gave myself some tattoos,and I know which ones.,but I don't know which ones.,OP2_wide,OP1_wide,
6,MDL,QD,must,a few,I must win a few matches this week,I won a few matches this week,and I know which ones.,but I don't know which ones.,OP2_wide,OP1_wide,
7,MDL,QD,might,most,I might become a fan of most ex-members of One Direction,I became a fan of most ex-members of One Direction,and I know which ex-members those are.,but I don't know which ex-members those are.,OP2_wide,OP1_wide,
8,MDL,QD,likely,most,I will likely speak face-to-face with most of my classmates,I spoke face-to-face with most of my classmates,and I know which ones those are.,but I don't know which ones those are.,OP2_wide,OP1_wide,
9,MDL,QD,must,the majority,I must visit the majority of my neighbours,I visited the majority of my neighbours,and I know who they are.,but I don't know who they are.,OP2_wide,OP1_wide,
10,MDL,QD,NA,all,NA,NA,NA,NA,NA,NA,MDL + 'all' type QDs excluded
11,MDL,NMR,might,two,I might see two of my professors today,I saw two of my professors today,and I know which two.,but I don't know which two.,OP2_wide,OP1_wide,
12,MDL,NMR,probably,three ,I will probably order three of my favourite items on the menu,I ordered three of my favourite items on the menu,and I know which three.,but I don't know which three.,OP2_wide,OP1_wide,
13,MDL,NMR,must,two,"This holiday season, I must donate to two charities","This holiday season, I donated to two charities",and I know which ones.,but I don't know which ones.,OP2_wide,OP1_wide,
14,ITV,IND,want,a/an,I want to buy a sandwich from Subway,I bought a sandwich from Subway,and I know which one.,but I don't know which one.,OP2_wide,OP1_wide,
15,ITV,IND,desire,a/an,I desire to purchase an expensive car,I purchased an expensive car,and I know which one.,but I don't know which one.,OP2_wide,OP1_wide,
16,ITV,IND,demand,a/an,I demand that I am handed an item of my choice,I was handed an item of my choice,and I know which one.,but I don't know which one.,OP2_wide,OP1_wide,
17,ITV,QD,hope,some,"One day, I hope to interview some of my favourite footballers","One day, I interviewed some of my favourite footballers",and I know which ones.,but I don't know which ones.,OP2_wide,OP1_wide,
18,ITV,QD,want,most,I want to test most tools in the shop,I tested most tools in the shop,and I know which tools those are.,but I don't know which tools those are.,OP2_wide,OP1_wide,
19,ITV,QD,yearn,every,I yearn to be friends with every person in my office,I was friends with every person in my office,because I care about who they are.,but I don't care about who they are.,OP2_wide,OP1_wide,
20,ITV,QD,deserve,some,I deserve to work at a Fortune 500 company,I worked at a Fortune 500 company,because I'm perfect for that company.,but I don't care which one.,OP2_wide,OP1_wide,
21,ITV,QD,wish,all,I wish to meet all the extended members of my family,I met all the extended members of my family,because I care deeply about them.,even though I don't know who they are yet.,OP2_wide,OP1_wide,
22,ITV,QD,aim,a few,I aim to travel to a few countries this year,I traveled to a few countries this year,because I've always wanted to travel to them.,but I don't care about which ones they are.,OP2_wide,OP1_wide,
