idx,sentence,followup,response,stype,ftype,OP1_type,OP2_type,OP1,OP2,comments,slide_number_in_experiment,wide
1,I may meet a close friend of mine in the morning...,but I don't know which one.,5,S,F2,MDL,IND,may,a/an,"Overall it makes sense and is valid, but doesn't sound entirely natural because I would expect the speaker to know who they are meeting if they are meeting their close friend.",21,OP1_wide
1,I met a close friend of mine in the morning...,and I know which one.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"If they are a close friend then of course you'd know which one, wouldn't need to say that you know",10,NA_CONTROL
1,I met a close friend of mine in the morning...,but I don't know which one.,4,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"Makes sense but is an unlikely statement. Most people would know ""which one"" of their close friends they met.",7,NA_CONTROL
1,I may meet a close friend of mine in the morning...,but I don't know which one.,6,S,F2,MDL,IND,may,a/an,,21,OP1_wide
1,I met a close friend of mine in the morning...,and I know which one.,5,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
1,I may meet a close friend of mine in the morning...,and I know which one.,2,S,F1,MDL,IND,may,a/an,,12,OP2_wide
1,I met a close friend of mine in the morning...,and I know which one.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
1,I may meet a close friend of mine in the morning...,but I don't know which one.,5,S,F2,MDL,IND,may,a/an,,21,OP1_wide
1,I met a close friend of mine in the morning...,but I don't know which one.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,7,NA_CONTROL
1,I may meet a close friend of mine in the morning...,and I know which one.,2,S,F1,MDL,IND,may,a/an,,12,OP2_wide
1,I may meet a close friend of mine in the morning...,but I don't know which one.,3,S,F2,MDL,IND,may,a/an,,21,OP1_wide
1,I met a close friend of mine in the morning...,and I know which one.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
1,I met a close friend of mine in the morning...,but I don't know which one.,5,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"...I can see this making sense, but it's potentially a bit odd.",7,NA_CONTROL
1,I met a close friend of mine in the morning...,but I don't know which one.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,7,NA_CONTROL
1,I met a close friend of mine in the morning...,but I don't know which one.,3,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,7,NA_CONTROL
1,I met a close friend of mine in the morning...,and I know which one.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,Expect detail about the friend or the meeting.,10,NA_CONTROL
1,I met a close friend of mine in the morning...,but I don't know which one.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,How would you not know who your close friend was?,7,NA_CONTROL
1,I met a close friend of mine in the morning...,but I don't know which one.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"I would actually say that it sounds like natural English from the construction point of view, but as a sentence it simply doesn't make sense unless the speaker is suffering from some kind of memory loss.",7,NA_CONTROL
1,I may meet a close friend of mine in the morning...,and I know which one.,5,S,F1,MDL,IND,may,a/an,,12,OP2_wide
1,I met a close friend of mine in the morning...,and I know which one.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
1,I met a close friend of mine in the morning...,and I know which one.,4,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
1,I may meet a close friend of mine in the morning...,and I know which one.,2,S,F1,MDL,IND,may,a/an,You wouldnâ€™t say you know which one ,12,OP2_wide
1,I may meet a close friend of mine in the morning...,and I know which one.,7,S,F1,MDL,IND,may,a/an,,12,OP2_wide
1,I may meet a close friend of mine in the morning...,and I know which one.,3,S,F1,MDL,IND,may,a/an,,12,OP2_wide
1,I may meet a close friend of mine in the morning...,and I know which one.,3,S,F1,MDL,IND,may,a/an,,12,OP2_wide
1,I met a close friend of mine in the morning...,and I know which one.,5,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"Makes sense as a sentence but the second sentence would likely never actually be spoken.
",10,NA_CONTROL
1,I may meet a close friend of mine in the morning...,but I don't know which one.,2,S,F2,MDL,IND,may,a/an,,21,OP1_wide
1,I may meet a close friend of mine in the morning...,and I know which one.,3,S,F1,MDL,IND,may,a/an,makes sense but sounds unnatural,12,OP2_wide
1,I met a close friend of mine in the morning...,and I know which one.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
1,I may meet a close friend of mine in the morning...,and I know which one.,4,S,F1,MDL,IND,may,a/an,,12,OP2_wide
1,I met a close friend of mine in the morning...,but I don't know which one.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,7,NA_CONTROL
1,I met a close friend of mine in the morning...,but I don't know which one.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,7,NA_CONTROL
2,I watched an episode of Tom and Jerry that I love...,and I know which episode.,6,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,22,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,and I know which episode.,6,S,F1,MDL,IND,probably,a/an,,7,OP2_wide
2,I watched an episode of Tom and Jerry that I love...,and I know which episode.,3,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,The sentiment expressed in the second part is implied in the first.,22,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,and I know which episode.,6,S,F1,MDL,IND,probably,a/an,,7,OP2_wide
2,I watched an episode of Tom and Jerry that I love...,and I know which episode.,2,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,22,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,and I know which episode.,5,S,F1,MDL,IND,probably,a/an,They know the episode of Tom and Jerry because they love it.,7,OP2_wide
2,I will probably watch an episode of Tom and Jerry that I love...,but I don't know which episode.,7,S,F2,MDL,IND,probably,a/an,,5,OP1_wide
2,I watched an episode of Tom and Jerry that I love...,but I don't know which episode.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
2,I watched an episode of Tom and Jerry that I love...,and I know which episode.,6,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,22,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,and I know which episode.,3,S,F1,MDL,IND,probably,a/an,,7,OP2_wide
2,I will probably watch an episode of Tom and Jerry that I love...,but I don't know which episode.,1,S,F2,MDL,IND,probably,a/an,You'd know which episode it was if you loved it.,5,OP1_wide
2,I watched an episode of Tom and Jerry that I love...,but I don't know which episode.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,but I don't know which episode.,7,S,F2,MDL,IND,probably,a/an,It sounds completely natural because it's relevant to the yellow.,5,OP1_wide
2,I watched an episode of Tom and Jerry that I love...,but I don't know which episode.,7,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"Natural, as the blue implies that they just don't remember the episode name or number.",10,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,but I don't know which episode.,7,S,F2,MDL,IND,probably,a/an,,5,OP1_wide
2,I watched an episode of Tom and Jerry that I love...,but I don't know which episode.,3,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,but I don't know which episode.,6,S,F2,MDL,IND,probably,a/an,"It makes sense as a sentence, although in reality I'd expect the orange part to be talking about a particular episode, so the second part doesn't feel totally natural to me although it makes sense.",5,OP1_wide
2,I watched an episode of Tom and Jerry that I love...,but I don't know which episode.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"If the speaker loves it and had just watched it, they would know which episode. ",10,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,and I know which episode.,4,S,F1,MDL,IND,probably,a/an,Not sure,7,OP2_wide
2,I will probably watch an episode of Tom and Jerry that I love...,and I know which episode.,6,S,F1,MDL,IND,probably,a/an,,7,OP2_wide
2,I will probably watch an episode of Tom and Jerry that I love...,and I know which episode.,5,S,F1,MDL,IND,probably,a/an,,7,OP2_wide
2,I will probably watch an episode of Tom and Jerry that I love...,but I don't know which episode.,5,S,F2,MDL,IND,probably,a/an,,5,OP1_wide
2,I watched an episode of Tom and Jerry that I love...,but I don't know which episode.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,and I know which episode.,4,S,F1,MDL,IND,probably,a/an,An episode implies they don't know which one. ,7,OP2_wide
2,I will probably watch an episode of Tom and Jerry that I love...,but I don't know which episode.,5,S,F2,MDL,IND,probably,a/an,,5,OP1_wide
2,I watched an episode of Tom and Jerry that I love...,but I don't know which episode.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,but I don't know which episode.,7,S,F2,MDL,IND,probably,a/an,,5,OP1_wide
